id,first_name,last_name,email,password,postcode,prefecture_code,address_city,address_street,phone_number
1,山田,太郎,test1@test.com,testtest1,"8913602",鹿児島県,鹿児島市吉野町,1 ,07087892211
2,小西,俊一,test2@test.com,testtest2,"8990133",鹿児島県,鹿児島市吉野町,2 ,07095535488
3,浅井,謙,test3@test.com,testtest3,8919112,鹿児島県,鹿児島市吉野町,3 ,07084926224
4,森永,裕史,test4@test.com,testtest4,8995412,鹿児島県,鹿児島市吉野町,4 ,07025834143
5,富岡,雄,test5@test.com,testtest5,8920806,鹿児島県,鹿児島市吉野町,5 ,07067178467
6,山浦,忠司,test6@test.com,testtest6,8912102,鹿児島県,鹿児島市吉野町,6 ,07090026189
7,梅津,義信,test7@test.com,testtest7,"8991629	",鹿児島県,鹿児島市吉野町,7 ,07067422052
8,船田,拓矢,test8@test.com,testtest8,8991921,鹿児島県,鹿児島市吉野町,8 ,07034870345
9,"各務","一成	",test9@test.com,testtest9,8910102,鹿児島県,"垂水市	中俣",9 ,07034870345
10,"芦野	","正人	",test10@test.com,testtest10,8914201,鹿児島県,"阿久根市	塩浜町",10 ,07057360500
11,大道,雅仁,test11@test.com,testtest11,"8913602",鹿児島県,"薩摩川内市	水引町",11 ,07059772921
12,屋比久,優希,test12@test.com,testtest12,"8990133",鹿児島県,"鹿児島市	星ケ峯",12 ,07094875467
13,重原,佳樹,test13@test.com,testtest13,8919112,鹿児島県,"阿久根市	塩鶴町",13 ,07092312319
14,西村,あかね,test14@test.com,testtest14,8995412,鹿児島県,"出水市	汐見町",14 ,07060056170
15,平野,みどり,test15@test.com,testtest15,8920806,鹿児島県,"いちき串木野市	港町",15 ,07060164623
16,中島,梨沙,test16@test.com,testtest16,8912102,鹿児島県,"垂水市	本城",16 ,07084822784
17,松尾,尚美,test17@test.com,testtest17,"8991629",鹿児島県,"志布志市	有明町野井倉",17 ,07083972197
18,長島,あゆみ,test18@test.com,testtest18,8991921,鹿児島県,"鹿児島郡十島村	宝島",18 ,07086492345
19,服部,奈津美,test19@test.com,testtest19,8910102,鹿児島県,"薩摩川内市	若葉町",19 ,07093329448
20,菊池,まゆみ,test20@test.com,testtest20,8914201,鹿児島県,"鹿児島郡十島村	悪石島",20 ,07025436736
